CLIENTI,ID_CLIENTE,TEMPO_PERMANENZA,TEMPO_ATTESA,NUM_CAMBI_CASSA,PRODOTTI_ACQUISTATI
443,1.993,1.960,0,64
444,1.958,1.943,0,73
445,1.893,1.847,0,70
446,2.181,2.020,0,85
447,1.953,1.754,0,79
448,1.683,1.667,0,29
449,1.971,1.828,0,24
450,1.603,1.456,0,21
451,2.036,1.983,0,42
452,2.008,1.861,0,95
453,2.216,2.140,0,54
454,1.781,1.617,0,59
455,1.923,1.884,0,58
456,2.030,1.832,0,76
457,1.758,1.619,0,28
458,1.936,1.846,0,32
459,1.895,1.796,1,77
460,1.630,1.608,1,55
461,1.887,1.772,1,42
462,1.670,1.648,1,29
463,2.032,1.975,0,53
464,1.980,1.836,0,59
465,2.094,1.949,0,20
466,1.971,1.946,0,35
467,1.677,1.509,0,79
468,1.772,1.676,0,67
469,1.871,1.797,0,80
470,1.882,1.701,1,31
471,1.668,1.612,1,61
472,2.086,2.075,0,91
473,1.470,1.457,1,11
474,1.920,1.910,0,72
475,1.606,1.538,1,9
476,1.476,1.449,0,19
477,0.127,-1.000,-1,0
478,1.954,1.823,0,98
479,1.963,1.788,0,13
480,1.677,1.606,0,96
481,1.481,1.369,0,33
482,1.400,1.215,0,50
483,2.049,1.864,0,44
484,1.812,1.785,0,43
485,2.006,1.962,1,98
486,2.049,1.905,0,49
487,2.343,2.177,0,88
488,2.016,1.985,0,98
489,2.096,1.934,0,69
490,1.286,1.213,0,13
491,1.318,1.235,1,50
492,1.573,1.398,1,26
493,1.199,1.149,0,2
494,1.495,1.317,1,90
495,2.086,1.941,1,89
496,1.574,1.434,0,47
497,2.213,2.034,0,86
498,1.486,1.382,1,30
499,1.288,1.125,0,93
500,0.051,-1.000,-1,0
501,1.608,1.427,0,77
502,2.117,2.083,0,97
503,2.444,2.326,0,72
504,1.468,1.363,0,57
505,2.136,2.081,1,99
506,1.330,1.198,1,63
507,1.664,1.586,0,87
508,2.269,2.106,1,70
509,1.906,1.896,1,7
510,1.391,1.207,0,5
511,1.601,1.512,0,21
512,2.320,2.265,0,49
513,1.153,1.120,0,24
514,1.982,1.885,0,60
515,1.780,1.645,0,57
516,1.389,1.311,0,38
517,1.152,1.026,1,35
518,2.099,2.027,1,12
519,1.357,1.238,0,57
520,1.747,1.621,0,60
521,1.153,1.116,0,25
522,1.481,1.400,1,70
523,2.101,2.091,0,17
524,2.452,2.392,0,96
525,2.017,1.985,0,39
526,1.823,1.808,0,66
527,0.072,-1.000,-1,0
528,1.508,1.424,0,48
529,1.822,1.796,0,76
530,1.190,1.177,1,9
531,1.413,1.388,1,100
532,2.285,2.275,0,15
533,2.011,1.967,1,73
534,1.428,1.372,0,53
535,2.094,1.982,0,60
536,2.195,2.057,0,87
537,1.230,1.176,1,3
538,1.823,1.787,0,50
539,1.575,1.478,1,42
540,1.341,1.321,1,68
541,2.004,1.850,0,8
542,1.579,1.399,0,39
543,2.138,1.985,0,48
544,1.356,1.266,1,53
545,2.132,2.033,0,75
546,1.370,1.200,1,3
547,1.592,1.397,0,60
548,1.530,1.374,0,90
549,2.038,1.968,0,32
550,1.183,1.160,0,41
551,1.472,1.434,0,13
552,2.078,1.957,0,75
553,1.328,1.152,1,41
554,1.452,1.259,0,10
555,1.709,1.654,0,49
556,1.518,1.454,1,73
557,1.738,1.555,1,81
558,1.366,1.299,1,30
559,1.733,1.554,1,15
560,1.563,1.422,0,36
561,1.235,1.158,0,52
562,2.019,1.946,0,15
563,1.894,1.828,1,96
564,1.691,1.618,0,32
565,1.426,1.247,1,90
566,1.664,1.545,0,94
567,1.414,1.342,0,13
568,1.802,1.734,0,7
569,1.660,1.480,0,66
570,1.598,1.403,0,17
571,1.656,1.535,0,55
572,1.637,1.508,0,42
573,1.937,1.756,1,48
574,1.183,1.167,1,24
575,1.581,1.413,0,12
576,1.631,1.585,0,58
577,1.381,1.317,0,88
578,1.674,1.651,0,84
579,1.639,1.580,1,94
580,1.537,1.511,0,26
581,1.590,1.459,1,65
582,1.698,1.540,0,43
583,1.572,1.417,1,16
584,1.503,1.375,1,16
585,1.545,1.403,0,13
586,1.854,1.759,0,69
587,1.633,1.447,1,97
588,1.418,1.398,0,19
589,1.510,1.340,1,58
590,1.739,1.593,1,43
591,1.433,1.339,1,13
592,1.482,1.407,0,17
593,1.886,1.790,0,64
594,1.321,1.206,0,8
595,1.656,1.614,2,12
596,1.448,1.402,0,2
597,1.648,1.453,0,82
598,1.447,1.353,1,72
599,1.656,1.531,1,80
600,1.831,1.674,0,70
601,1.727,1.663,0,49
602,1.324,1.280,1,31
603,1.200,1.089,1,56
604,1.551,1.528,1,94
605,1.767,1.667,0,43
606,1.899,1.715,0,65
607,1.413,1.223,1,14
608,1.641,1.593,1,54
609,1.742,1.562,0,20
610,1.103,1.086,1,7
611,1.441,1.280,0,32
612,2.010,1.958,0,92
613,1.323,1.251,1,98
614,1.769,1.586,0,55
615,2.173,2.049,0,71
616,1.428,1.414,0,79
617,1.487,1.445,1,74
618,1.567,1.370,1,84
619,1.558,1.384,1,16
620,1.335,1.293,0,51
621,1.461,1.379,0,22
622,1.233,1.222,1,40
623,1.807,1.625,0,71
624,1.238,1.144,0,18
625,1.661,1.635,0,74
626,1.960,1.880,1,73
627,1.256,1.205,1,17
628,1.462,1.442,0,47
629,1.905,1.736,1,8
630,2.079,1.947,0,60
631,1.393,1.361,1,66
632,1.724,1.586,0,51
633,1.360,1.264,0,10
634,1.549,1.429,0,73
635,1.422,1.308,1,94
636,1.895,1.793,0,27
637,1.662,1.506,0,12
638,1.781,1.724,0,88
639,2.035,1.857,0,45
640,1.437,1.279,0,65
641,1.937,1.886,0,96
